feature,weight,std,fold
MO_MN_id,0.0,0.0,1
V40_TI_id,0.0,0.0,1
V40_MN_id,0.0,0.0,1
V40_MO_id,0.0,0.0,1
AG_TI_id,0.0,0.0,1
NI_MO_id,0.0,0.0,1
NI_AG_id,0.0,0.0,1
ZN_FE_V_id,0.0,0.0,1
CU_TI_id,0.0,0.0,1
CU_V40_id,0.0,0.0,1
CU_AG_id,0.0,0.0,1
CU_CR_id,0.0,0.0,1
CU_CO_id,0.0,0.0,1
CU_V_id,0.0,0.0,1
CU_NI_id,0.0,0.0,1
CU_H2O_id,0.0,0.0,1
CU_FE_id,0.0,0.0,1
ZN_TI_id,0.0,0.0,1
ZN_MN_id,0.0,0.0,1
ZN_MO_id,0.0,0.0,1
ZN_V40_id,0.0,0.0,1
ZN_AG_id,0.0,0.0,1
ZN_CR_id,0.0,0.0,1
ZN_CO_id,0.0,0.0,1
ZN_V_id,0.0,0.0,1
ZN_NI_id,0.0,0.0,1
ZN_H2O_id,0.0,0.0,1
ZN_FE_id,0.0,0.0,1
CU_MO_id,0.0,0.0,1
FE_H2O_id,0.0,0.0,1
NI_CR_id,0.0,0.0,1
FE_NI_id,0.0,0.0,1
NI_CO_id,0.0,0.0,1
NI_V_id,0.0,0.0,1
H2O_TI_id,0.0,0.0,1
H2O_MN_id,0.0,0.0,1
H2O_MO_id,0.0,0.0,1
H2O_V40_id,0.0,0.0,1
H2O_AG_id,0.0,0.0,1
H2O_CR_id,0.0,0.0,1
H2O_CO_id,0.0,0.0,1
H2O_V_id,0.0,0.0,1
H2O_NI_id,0.0,0.0,1
FE_TI_id,0.0,0.0,1
FE_MN_id,0.0,0.0,1
FE_MO_id,0.0,0.0,1
FE_V40_id,0.0,0.0,1
FE_AG_id,0.0,0.0,1
FE_CR_id,0.0,0.0,1
FE_CO_id,0.0,0.0,1
FE_V_id,0.0,0.0,1
ZN_FE_NI_id,0.0,0.0,1
ZN_FE_CO_id,0.0,0.0,1
CU_CR_V40_id,0.0,0.0,1
CU_H2O_MO_id,0.0,0.0,1
CU_H2O_AG_id,0.0,0.0,1
CU_H2O_CR_id,0.0,0.0,1
CU_H2O_CO_id,0.0,0.0,1
CU_H2O_V_id,0.0,0.0,1
CU_H2O_NI_id,0.0,0.0,1
CU_FE_TI_id,0.0,0.0,1
CU_FE_MN_id,0.0,0.0,1
CU_FE_MO_id,0.0,0.0,1
CU_FE_V40_id,0.0,0.0,1
CU_FE_AG_id,0.0,0.0,1
CU_FE_CR_id,0.0,0.0,1
CU_FE_CO_id,0.0,0.0,1
CU_FE_V_id,0.0,0.0,1
CU_FE_NI_id,0.0,0.0,1
CU_FE_H2O_id,0.0,0.0,1
ZN_MN_TI_id,0.0,0.0,1
ZN_MO_TI_id,0.0,0.0,1
ZN_MO_MN_id,0.0,0.0,1
ZN_V40_TI_id,0.0,0.0,1
CU_H2O_V40_id,0.0,0.0,1
CU_H2O_MN_id,0.0,0.0,1
ZN_V40_MO_id,0.0,0.0,1
CU_H2O_TI_id,0.0,0.0,1
FE_gtm,0.0,0.0,1
CU_CO_TI_id,0.0,0.0,1
CU_CO_MN_id,0.0,0.0,1
CU_CO_MO_id,0.0,0.0,1
CU_CO_V40_id,0.0,0.0,1
CU_CO_AG_id,0.0,0.0,1
CU_CO_CR_id,0.0,0.0,1
CU_V_TI_id,0.0,0.0,1
CU_V_MN_id,0.0,0.0,1
CU_V_MO_id,0.0,0.0,1
CU_V_V40_id,0.0,0.0,1
CU_V_AG_id,0.0,0.0,1
CU_V_CR_id,0.0,0.0,1
CU_V_CO_id,0.0,0.0,1
CU_NI_TI_id,0.0,0.0,1
CU_NI_MN_id,0.0,0.0,1
CU_NI_V40_id,0.0,0.0,1
CU_NI_AG_id,0.0,0.0,1
CU_NI_CO_id,0.0,0.0,1
ZN_V40_MN_id,0.0,0.0,1
ZN_AG_TI_id,0.0,0.0,1
ZN_FE_CR_id,0.0,0.0,1
ZN_NI_MN_id,0.0,0.0,1
ZN_NI_V40_id,0.0,0.0,1
ZN_NI_AG_id,0.0,0.0,1
ZN_NI_CR_id,0.0,0.0,1
ZN_NI_CO_id,0.0,0.0,1
ZN_NI_V_id,0.0,0.0,1
ZN_H2O_TI_id,0.0,0.0,1
ZN_H2O_MN_id,0.0,0.0,1
ZN_H2O_MO_id,0.0,0.0,1
ZN_H2O_V40_id,0.0,0.0,1
ZN_H2O_AG_id,0.0,0.0,1
ZN_H2O_CR_id,0.0,0.0,1
ZN_H2O_CO_id,0.0,0.0,1
ZN_H2O_V_id,0.0,0.0,1
ZN_H2O_NI_id,0.0,0.0,1
ZN_FE_TI_id,0.0,0.0,1
ZN_FE_MN_id,0.0,0.0,1
ZN_FE_MO_id,0.0,0.0,1
ZN_FE_V40_id,0.0,0.0,1
ZN_FE_AG_id,0.0,0.0,1
ZN_NI_MO_id,0.0,0.0,1
ZN_NI_TI_id,0.0,0.0,1
ZN_AG_MN_id,0.0,0.0,1
ZN_V_CO_id,0.0,0.0,1
ZN_AG_MO_id,0.0,0.0,1
ZN_AG_V40_id,0.0,0.0,1
ZN_CR_TI_id,0.0,0.0,1
ZN_CR_MN_id,0.0,0.0,1
ZN_CR_MO_id,0.0,0.0,1
ZN_CR_V40_id,0.0,0.0,1
ZN_CR_AG_id,0.0,0.0,1
ZN_CO_TI_id,0.0,0.0,1
ZN_CO_MN_id,0.0,0.0,1
ZN_CO_MO_id,0.0,0.0,1
ZN_CO_V40_id,0.0,0.0,1
ZN_CO_AG_id,0.0,0.0,1
ZN_CO_CR_id,0.0,0.0,1
ZN_V_TI_id,0.0,0.0,1
ZN_V_MN_id,0.0,0.0,1
ZN_V_MO_id,0.0,0.0,1
ZN_V_V40_id,0.0,0.0,1
ZN_V_AG_id,0.0,0.0,1
ZN_V_CR_id,0.0,0.0,1
CU_gtm,0.0,0.0,1
CO_gtm,0.0,0.0,1
H2O_gtm,0.0,0.0,1
V_gtm_AG_gtm_CU_gtm_id2,0.0,0.0,1
V_gtm_MO_gtm_AG_gtm_id2,0.0,0.0,1
V_gtm_V40_gtm_CU_gtm_id2,0.0,0.0,1
V_gtm_V40_gtm_AG_gtm_id2,0.0,0.0,1
V_gtm_V40_gtm_MO_gtm_id2,0.0,0.0,1
V_gtm_ZN_gtm_CU_gtm_id2,0.0,0.0,1
V_gtm_ZN_gtm_AG_gtm_id2,0.0,0.0,1
V_gtm_ZN_gtm_MO_gtm_id2,0.0,0.0,1
V_gtm_ZN_gtm_V40_gtm_id2,0.0,0.0,1
V_gtm_FE_gtm_CU_gtm_id2,0.0,0.0,1
V_gtm_FE_gtm_AG_gtm_id2,0.0,0.0,1
V_gtm_FE_gtm_MO_gtm_id2,0.0,0.0,1
V_gtm_FE_gtm_V40_gtm_id2,0.0,0.0,1
V_gtm_FE_gtm_ZN_gtm_id2,0.0,0.0,1
V_gtm_CO_gtm_CU_gtm_id2,0.0,0.0,1
V_gtm_CO_gtm_AG_gtm_id2,0.0,0.0,1
V_gtm_CO_gtm_MO_gtm_id2,0.0,0.0,1
V_gtm_CO_gtm_V40_gtm_id2,0.0,0.0,1
V_gtm_CO_gtm_ZN_gtm_id2,0.0,0.0,1
V_gtm_CO_gtm_FE_gtm_id2,0.0,0.0,1
V_gtm_MO_gtm_CU_gtm_id2,0.0,0.0,1
CR_gtm_NI_gtm_TI_gtm_id2,0.0,0.0,1
MN_gtm_TI_gtm_AG_gtm_id2,0.0,0.0,1
CR_gtm_NI_gtm_CO_gtm_id2,0.0,0.0,1
CR_gtm_CO_gtm_CU_gtm_id2,0.0,0.0,1
CR_gtm_CO_gtm_AG_gtm_id2,0.0,0.0,1
CR_gtm_CO_gtm_MO_gtm_id2,0.0,0.0,1
CR_gtm_CO_gtm_V40_gtm_id2,0.0,0.0,1
CR_gtm_CO_gtm_ZN_gtm_id2,0.0,0.0,1
CR_gtm_CO_gtm_FE_gtm_id2,0.0,0.0,1
CR_gtm_TI_gtm_CU_gtm_id2,0.0,0.0,1
CR_gtm_TI_gtm_AG_gtm_id2,0.0,0.0,1
CR_gtm_TI_gtm_MO_gtm_id2,0.0,0.0,1
CR_gtm_TI_gtm_V40_gtm_id2,0.0,0.0,1
CR_gtm_TI_gtm_ZN_gtm_id2,0.0,0.0,1
CR_gtm_TI_gtm_FE_gtm_id2,0.0,0.0,1
CR_gtm_TI_gtm_CO_gtm_id2,0.0,0.0,1
CR_gtm_NI_gtm_CU_gtm_id2,0.0,0.0,1
CR_gtm_NI_gtm_AG_gtm_id2,0.0,0.0,1
CR_gtm_NI_gtm_MO_gtm_id2,0.0,0.0,1
CR_gtm_NI_gtm_V40_gtm_id2,0.0,0.0,1
CR_gtm_NI_gtm_ZN_gtm_id2,0.0,0.0,1
CR_gtm_NI_gtm_FE_gtm_id2,0.0,0.0,1
V_gtm_TI_gtm_CU_gtm_id2,0.0,0.0,1
V_gtm_TI_gtm_AG_gtm_id2,0.0,0.0,1
V_gtm_TI_gtm_MO_gtm_id2,0.0,0.0,1
V_gtm_TI_gtm_V40_gtm_id2,0.0,0.0,1
MN_gtm_MO_gtm_AG_gtm_id2,0.0,0.0,1
MN_gtm_V40_gtm_CU_gtm_id2,0.0,0.0,1
MN_gtm_V40_gtm_AG_gtm_id2,0.0,0.0,1
MN_gtm_V40_gtm_MO_gtm_id2,0.0,0.0,1
MN_gtm_ZN_gtm_CU_gtm_id2,0.0,0.0,1
MN_gtm_ZN_gtm_AG_gtm_id2,0.0,0.0,1
MN_gtm_ZN_gtm_MO_gtm_id2,0.0,0.0,1
MN_gtm_ZN_gtm_V40_gtm_id2,0.0,0.0,1
MN_gtm_FE_gtm_CU_gtm_id2,0.0,0.0,1
MN_gtm_FE_gtm_AG_gtm_id2,0.0,0.0,1
MN_gtm_FE_gtm_MO_gtm_id2,0.0,0.0,1
MN_gtm_FE_gtm_V40_gtm_id2,0.0,0.0,1
MN_gtm_FE_gtm_ZN_gtm_id2,0.0,0.0,1
MN_gtm_CO_gtm_CU_gtm_id2,0.0,0.0,1
MN_gtm_CO_gtm_AG_gtm_id2,0.0,0.0,1
MN_gtm_CO_gtm_MO_gtm_id2,0.0,0.0,1
MN_gtm_CO_gtm_V40_gtm_id2,0.0,0.0,1
MN_gtm_CO_gtm_ZN_gtm_id2,0.0,0.0,1
NI_gtm,0.0,0.0,1
MN_gtm_MO_gtm_CU_gtm_id2,0.0,0.0,1
MN_gtm_AG_gtm_CU_gtm_id2,0.0,0.0,1
V_gtm_CR_gtm_NI_gtm_id2,0.0,0.0,1
V_gtm_NI_gtm_FE_gtm_id2,0.0,0.0,1
V_gtm_TI_gtm_ZN_gtm_id2,0.0,0.0,1
